Match ID,Team A,Team A xG,Team A Points,Team B,Team B xG,Team B Points
4322877,Bengaluru FC,"[0.01424947939813137, 0, 0.01614575833082199, 0.04213555529713631, 0.12496140599250793, 0.08352738618850708, 0.022230423986911774, 0.031606774777173996, 0.0209793820977211, 0.20625880360603333, 0.10310427844524384]",0,Kerala Blasters FC,"[0.05735497921705246, 0.027154074981808662, 0.05848556384444237, 0.0192571971565485, 0.05251222103834152, 0.016921725124120712, 0.03481300175189972, 0.5756881833076477, 0.025058448314666748]",3
4322862,Chennaiyin FC,"[0.08221558481454849, 0.020173916593194008, 0.12713156640529633, 0.026494404301047325, 0.023586448282003403, 0.028867105022072792, 0.033523768186569214]",0,Odisha FC,"[0.012778188101947308, 0.17669914662837982, 0.011821990832686424, 0.07818827778100967, 0.03822685033082962, 0.1938876062631607, 0.12925653159618378, 0.019085528329014778, 0.01174131315201521]",3
4322861,Mohun Bagan SG,"[0.10242881625890732, 0.2560166120529175, 0.026276465505361557, 0.024257242679595947, 0.24998313188552856, 0.16981624066829681, 0.018554845824837685, 0.5142279267311096, 0.03909188508987427, 0.16713391244411469, 0.012109332717955112, 0.027338672429323196, 0.13045042753219604]",3,Punjab FC,"[0.019359713420271873, 0.12583598494529724, 0.017530282959342003, 0.16828776895999908, 0.02238043025135994, 0.023085450753569603, 0.01726337894797325, 0.018631834536790848, 0.024954086169600487, 0.01769210770726204]",0
4322860,Mumbai City FC,"[0.01924852654337883, 0.016018036752939224, 0.7860593199729919, 0.13659384846687317, 0.09652109444141388, 0.020770862698554993, 0.16879278421401978, 0.09209995716810226, 0.03932776302099228, 0.14475345611572266, 0.011631119064986706, 0.05026579648256302]",3,Northeast United FC,"[0.01738620176911354, 0.03101634420454502, 0.06453514099121094, 0.022951146587729454, 0.025749240070581436, 0.08837386965751648, 0.016314487904310226, 0.04179256036877632]",0
4322859,East Bengal FC,"[0.18473945558071136, 0.07509076595306396, 0.03249533101916313, 0.27805086970329285, 0.0625569075345993, 0.09471949934959412, 0.05184798687696457, 0.015019177459180355, 0.01705733686685562, 0.027709243819117546]",1,Jamshedpur FC,"[0.03397446870803833, 0.04798722267150879, 0.021429235115647316, 0.02775200456380844, 0.01270565576851368, 0.014443588443100452, 0.01402316801249981, 0.12211160361766815, 0.009328369982540607, 0.033318981528282166]",1
4322858,Bengaluru FC,"[0.07051818817853928, 0.014107072725892067, 0.014867538586258888, 0.20850428938865662, 0.010177143849432468, 0.01523508783429861, 0.10571213811635971, 0.01212912518531084, 0.04257119446992874, 0.016982046887278557, 0.026944072917103767]",0,Mohun Bagan SG,"[0.01638600043952465, 0.021555714309215546, 0.10229045897722244, 0.017168138176202774, 0.009476161561906338, 0.03792622685432434, 0.016206953674554825, 0.03303472325205803, 0.01715441793203354, 0.05081019923090935, 0.020429711788892746, 0.1301482766866684, 0.07582291960716248, 0.04829861968755722, 0.09002519398927689, 0.041612643748521805, 0.06564800441265106]",3
4322857,Odisha FC,"[0.014006655663251877, 0.039280716329813004, 0.019574325531721115, 0.9908375144004822, 0.010948934592306614, 0.014068144373595715, 0.7884]",1,Mumbai City FC,"[0.026136105880141258, 0.06828740239143372, 0.06913255155086517, 0.07717196643352509, 0.043439943343400955, 0.16069158911705017, 0.03793767839670181, 0.017851121723651886, 0.06076589226722717, 0.2149883210659027, 0.41430479288101196, 0.025000454857945442, 0.019601499661803246]",1
4322856,Chennaiyin FC,"[0.027208032086491585, 0.11103161424398422, 0.02426648698747158, 0.1474829912185669, 0.0168595053255558, 0.008410094305872917, 0.019739743322134018, 0.1155320480465889, 0.029315879568457603, 0.07674764841794968, 0.011279620230197906]",0,Northeast United FC,"[0.02578882686793804, 0.12726546823978424, 0.2204420417547226, 0.016904639080166817, 0.016233691945672035, 0.02358611300587654, 0.33643460273742676, 0.017724182456731796, 0.15349572896957397, 0.009241090156137943]",3
4322855,East Bengal FC,"[0.18772466480731964, 0.01614575833082199, 0.1985948085784912, 0.03860527649521828, 0.031102949753403664, 0.18754994869232178, 0.07013855129480362, 0.032180849462747574, 0.019141200929880142, 0.044125352054834366, 0.03819695860147476, 0.0415315181016922, 0.09230135381221771]",3,Hyderabad FC,"[0.0383506640791893, 0.38840043544769287, 0.01314183697104454, 0.33699145913124084]",0
4322854,Kerala Blasters FC,"[0.028051182627677917, 0.05830388516187668, 0.017952796071767807, 0.03659951686859131, 0.029684927314519882, 0.33086204528808594, 0.25973227620124817, 0.23069649934768677, 0.02158561535179615]",3,Jamshedpur FC,"[0.22291912138462067, 0.017649488523602486, 0.046066515147686005, 0.03146752342581749, 0.06595349311828613, 0.02010957896709442, 0.0410011000931263, 0.02324909158051014, 0.023601729422807693, 0.0191377941519022]",0
4322864,FC Goa,"[0.06614624708890915, 0.1455974578857422, 0.05722504109144211, 0.10370983183383942, 0.020520105957984924, 0.19735030829906464, 0.13126955926418304, 0.28252753615379333, 0.021697362884879112, 0.021609269082546234, 0.13753797113895416, 0.03138716146349907, 0.04764514043927193, 0.016739264130592346, 0.043106500059366226, 0.04396485164761543, 0.010114658623933792, 0.13368965685367584]",3,Punjab FC,"[0.01414372120052576, 0.019853919744491577, 0.03701072186231613, 0.036858461797237396, 0.08501360565423965, 0.035221491008996964, 0.02409450151026249, 0.019323481246829033]",0
4322865,East Bengal FC,"[0.021727530285716057, 0.21889427304267883, 0.03520650416612625, 0.09581484645605087, 0.13825447857379913, 0.0363103486597538, 0.031607963144779205, 0.11715846508741379, 0.0170066449791193, 0.023591522127389908, 0.05579221248626709, 0.097821444272995, 0.04144437611103058, 0.015403334982693195, 0.02720773033797741, 0.032030586153268814]",0,Bengaluru FC,"[0.06888909637928009, 0.7884, 0.04203919693827629, 0.019023770466446877, 0.04048098251223564]",3
4322866,Jamshedpur FC,"[0.01267990656197071, 0.027534598484635353, 0.1052229255437851, 0.011828933842480183, 0.019336601719260216, 0.022629495710134506, 0.061444465070962906, 0.048967793583869934, 0.08769803494215012, 0.0411471426486969, 0.03140774741768837, 0.04082786291837692, 0.04022683948278427, 0.045901812613010406, 0.05170084536075592, 0.2625454068183899]",3,Hyderabad FC,"[0.05786864832043648, 0.17583408951759338, 0.033064521849155426, 0.1086236834526062, 0.2868189215660095, 0.15514157712459564, 0.02326332964003086, 0.05837976559996605, 0.06713154166936874, 0.06929599493741989, 0.12491351366043091, 0.05139040946960449]",0
4322876,Northeast United FC,"[0.11706844717264175, 0.07682394236326218, 0.03474019095301628, 0.016875281929969788, 0.06934976577758789, 0.7884, 0.02717406488955021, 0.028947658836841583, 0.03550846129655838, 0.014983623288571835, 0.13858039677143097]",1,Punjab FC,"[0.0037553959991782904, 0.09428031742572784, 0.07836595922708511, 0.02296406216919422, 0.01203919481486082, 0.3062049448490143, 0.08176331222057343, 0.016905369237065315, 0.21628262102603912, 0.11465360224246979, 0.05052563175559044, 0.3197799026966095, 0.00965102855116129, 0.017130589112639427]",1
4322875,FC Goa,"[0.028603361919522285, 0.016233691945672035, 0.08246266841888428, 0.082203708589077, 0.16878467798233032, 0.06298968940973282, 0.028744155541062355, 0.1396559178829193, 0.018293440341949463, 0.1980789303779602, 0.7884, 0.32691577076911926, 0.0556689016520977, 0.023368408903479576, 0.3300255239009857, 0.029137374833226204, 0.014530867338180542, 0.04253888502717018, 0.052989594638347626, 0.021715806797146797, 0.08318539708852768, 0.04466424137353897, 0.04391138255596161]",3,Odisha FC,"[0.069893978536129, 0.03714678809046745, 0.033599112182855606, 0.03147567808628082, 0.008058659732341766, 0.07398661971092224, 0.05981453135609627, 0.0732334777712822, 0.07609356194734573, 0.09952300041913986, 0.12355823814868927]",0
4322874,Mohun Bagan SG,"[0.023106178268790245, 0.05551181361079216, 0.475208044052124, 0.02922116033732891, 0.08503055572509766, 0.07227965444326401, 0.09131915122270584, 0.16067124903202057, 0.16791780292987823, 0.18785646557807922, 0.5505117177963257, 0.04133882001042366, 0.2833952307701111, 0.09457738697528839, 0.033431779593229294, 0.012053273618221283, 0.03100045770406723, 0.07699688524007797, 0.005421806126832962, 0.02391510084271431]",3,Chennaiyin FC,"[0.10539408028125763, 0.12176918238401413, 0.014811686240136623, 0.11507628113031387, 0.027476582676172256, 0.028600677847862244, 0.02593148499727249, 0.00794557947665453, 0.02798951417207718, 0.03511137515306473, 0.2672162652015686, 0.055115047842264175, 0.019177379086613655]",0
4322873,Kerala Blasters FC,"[0.015180877409875393, 0.0320257730782032, 0.02003992535173893, 0.15977983176708221, 0.03924117609858513, 0.4317275583744049, 0.017711875960230827, 0.06623978167772293, 0.033526573330163956, 0.022046899423003197, 0.05976696312427521]",0,Mumbai City FC,"[0.21476754546165466, 0.02710842527449131, 0.11805318295955658, 0.011103122495114803, 0.9249910712242126, 0.05974702164530754, 0.15241894125938416, 0.10434335470199585, 0.16246290504932404]",3
4322872,East Bengal FC,"[0.013900757767260075, 0.30495673418045044, 0.05346006527543068, 0.03159283474087715]",0,FC Goa,"[0.15580931305885315, 0.02245025523006916, 0.11409922689199448, 0.14658154547214508, 0.0257648266851902, 0.01366604957729578, 0.02334083802998066, 0.04325849935412407, 0.031397514045238495, 0.3065751791000366, 0.06158793717622757, 0.04959264025092125, 0.029125787317752838]",3
4322871,Kerala Blasters FC,"[0.013480945490300655, 0.09083554148674011, 0.2287283092737198, 0.029665285721421242, 0.07817159593105316, 0.04967069998383522, 0.015976279973983765, 0.1436096727848053, 0.030062668025493622, 0.010567556135356426, 0.03170005977153778, 0.12444587796926498, 0.015353715978562832]",1,Northeast United FC,"[0.011828933842480183, 0.18089669942855835, 0.021373724564909935, 0.01561038475483656, 0.06526516377925873, 0.08540380001068115, 0.017850026488304138]",1
4322870,Punjab FC,"[0.007114722393453121, 0.05418776720762253, 0.09385358542203903, 0.1260799914598465, 0.07718297094106674, 0.14937585592269897, 0.04671122133731842]",1,Jamshedpur FC,"[0.07353106141090393, 0.015353715978562832, 0.014235247857868671, 0.0071373977698385715, 0.01572737842798233, 0.02878062054514885, 0.027158048003911972, 0.08642677217721939, 0.025365320965647697, 0.025247540324926376, 0.25088685750961304, 0.2242869883775711, 0.1271488070487976, 0.033431779593229294, 0.049671195447444916, 0.025351468473672867, 0.0570530891418457, 0.032977186143398285, 0.24154125154018402, 0.08549775928258896, 0.27826857566833496, 0.05325986072421074]",1
4322869,Chennaiyin FC,"[0.5691492557525635, 0.06894734501838684, 0.012585915625095367, 0.035233765840530396, 0.15795113146305084, 0.07398088276386261, 0.057726167142391205]",3,Hyderabad FC,"[0.030899856239557266, 0.39624208211898804, 0.09709271788597107, 0.05284145101904869, 0.05981453135609627, 0.047445762902498245, 0.03171450272202492, 0.10978008061647415, 0.03428802639245987, 0.026093825697898865]",0
4322868,Bengaluru FC,"[0.03792181611061096, 0.011234678328037262, 0.021986819803714752, 0.021702758967876434, 0.28590986132621765, 0.12413440644741058, 0.021816778928041458, 0.020517854019999504, 0.06278446316719055, 0.05885379761457443]",1,FC Goa,"[0.1312304139137268, 0.044288862496614456, 0.04744197800755501, 0.04815308377146721, 0.09084280580282211, 0.07176259905099869, 0.02847716398537159, 0.02597755193710327, 0.014146713539958, 0.017683062702417374, 0.019277086481451988, 0.23911626636981964, 0.061052288860082626, 0.018933864310383797, 0.017147906124591827, 0.01981263980269432, 0.02258237823843956, 0.02212047204375267, 0.03304605931043625, 0.016197552904486656]",1
4322867,Northeast United FC,"[0.022520067170262337, 0.016105027869343758, 0.01677573472261429, 0.009031180292367935, 0.021924661472439766, 0.10005535185337067, 0.030623527243733406, 0.023248929530382156, 0.007164809852838516, 0.018657702952623367, 0.06164323166012764, 0.26682335138320923, 0.7884]",3,Jamshedpur FC,"[0.7884, 0.5883290767669678, 0.02199236862361431, 0.00898799765855074]",0
4322853,Odisha FC,"[0.025688769295811653, 0.23113392293453217, 0.03966176137328148, 0.7884, 0.2677176594734192, 0.05775398761034012, 0.015409127809107304]",0,Kerala Blasters FC,"[0.028355250135064125, 0.015561293810606003, 0.19441892206668854, 0.12732848525047302, 0.047349438071250916, 0.42182084918022156, 0.018715711310505867, 0.01880134828388691, 0.09781148284673691, 0.016314487904310226, 0.039848919957876205, 0.04722639545798302, 0.03541174903512001, 0.26903417706489563, 0.05686069279909134, 0.06802945584058762, 0.04255599528551102, 0.02513217367231846]",3
4322852,Mumbai City FC,"[0.05670470371842384, 0.3438880443572998, 0.04894062131643295, 0.03193631395697594, 0.3101414144039154, 0.029310207813978195, 0]",1,Hyderabad FC,"[0.022318866103887558, 0.047304388135671616, 0.009745514951646328, 0.014482813887298107, 0.054940249770879745, 0.11286374926567078, 0.04058796912431717, 0.01614575833082199, 0.05156128108501434, 0.030303506180644035, 0, 0.1329995095729828, 0.1079564243555069, 0.033337946981191635, 0.07250288128852844]",1
4322837,Chennaiyin FC,"[0.07505930960178375, 0.06470662355422974, 0.07441491633653641, 0.03654066473245621, 0.13265950977802277, 0.12849754095077515, 0.009647186845541, 0.7884, 0.14023126661777496, 0.04982408136129379, 0.032268282026052475, 0.016562828794121742, 0.018997404724359512, 0.09430917352437973, 0.023492999374866486, 0.1316191554069519]",3,Punjab FC,"[0.023718951269984245, 0.11233774572610855]",0
4322836,Bengaluru FC,"[0.037044573575258255, 0.02122514136135578, 0.25474265217781067, 0.3526630401611328, 0.08239021897315979, 0.04451677203178406, 0.007902665995061398, 0.01005790289491415, 0.05981453135609627, 0.07788799703121185]",0,Odisha FC,"[0.036406077444553375, 0.06347337365150452, 0.08707480132579803, 0.024185171350836754, 0.16190692782402039, 0.32832083106040955, 0.12748681008815765, 0.05940457060933113, 0.03431939706206322, 0.21183805167675018, 0.06335792690515518, 0.04351325333118439, 0.030422236770391464, 0.035357631742954254]",3
4322835,Mohun Bagan SG,"[0.015514036640524864, 0.5410628318786621, 0.1748388558626175, 0.06628365814685822, 0.03147265315055847, 0.017130589112639427, 0.040305301547050476, 0.018919900059700012, 0.11353807151317596, 0.29453590512275696, 0.03910316154360771]",3,Jamshedpur FC,"[0.04822712019085884, 0.011214593425393105, 0.011786014772951603, 0.02271665446460247, 0.044413305819034576, 0.01548778172582388, 0.010583363473415375, 0.03882736712694168, 0.02495521679520607, 0.7884, 0.02386149950325489, 0.027450377121567726, 0.014622875489294529]",0
4322834,Mumbai City FC,"[0.039503663778305054, 0.03573715686798096, 0.05576363205909729, 0.09126341342926025, 0.05083707720041275, 0.05292395129799843, 0.10833817720413208, 0.14478068053722382, 0.07242324948310852, 0.12335552275180817, 0.04412897303700447, 0.014979366213083267, 0.1300676465034485, 0.046625226736068726, 0.12761588394641876, 0.018657702952623367, 0.7179667949676514, 0.027536826208233833, 0.14612290263175964]",3,Punjab FC,"[0.02743726596236229, 0.05642659589648247, 0.5552442669868469, 0.09346767514944077, 0.027230506762862206, 0.015902725979685783, 0.01664763130247593, 0.06680402904748917, 0.057585373520851135, 0.03738578036427498, 0.07965144515037537]",0
4322833,Odisha FC,"[0.013515837490558624, 0.03264785557985306, 0.02973260171711445, 0.02108256332576275, 0.035221491008996964, 0.10607613623142242, 0.3364233374595642, 0.028627237305045128, 0.008512627333402634, 0.030917495489120483, 0.20393051207065582, 0.05412741005420685, 0.05064190551638603, 0.020178629085421562, 0.024505043402314186]",3,Northeast United FC,"[0.04063364118337631, 0.026733960956335068, 0.05180446431040764, 0.022029783576726913, 0.05601956322789192, 0.017282957211136818, 0.027835426852107048, 0.027713755145668983, 0.0321020632982254, 0.03442351147532463, 0.024898149073123932]",0
4322832,Bengaluru FC,"[0.03513604402542114, 0.05082765594124794, 0.06422120332717896, 0.02985546551644802, 0.28828558325767517, 0.2681385278701782, 0.015069111250340939, 0.019693216308951378, 0.01928887329995632, 0.7882503271102905, 0.23556546866893768, 0.22411590814590454, 0.12375443428754807, 0.05924000218510628, 0.08335154503583908]",1,Hyderabad FC,"[0.2787035405635834, 0.05977441743016243, 0.1288996785879135, 0.33677807450294495, 0.14259198307991028, 0.11194109916687012, 0.0978328213095665, 0.04589572548866272]",1
4322831,East Bengal FC,"[0.09062038362026215, 0.010766630060970783, 0.027961065992712975, 0.14240175485610962, 0.0808192640542984, 0.06464703381061554, 0.016906438395380974, 0.7884, 0.32845988869667053, 0.049478378146886826, 0.05199148505926132, 0.7884]",0,Kerala Blasters FC,"[0.023322148248553276, 0.02288598008453846, 0.13271641731262207, 0.03148627653717995, 0.006927754729986191, 0.044763751327991486, 0.022250860929489136, 0.05082765594124794, 0.1595025658607483, 0.010761161334812641]",3
4322830,FC Goa,"[0.025271032005548477, 0.27493366599082947, 0.02670932561159134, 0.08340363949537277, 0.08007816970348358, 0.019407330080866814, 0.13181687891483307, 0.035900454968214035, 0.34863874316215515, 0.04144454002380371, 0.08502393215894699, 0.052826009690761566, 0.04758606478571892, 0.031861018389463425, 0.02420954778790474, 0.02473653480410576, 0.017399273812770844]",3,Chennaiyin FC,"[0.016313722357153893, 0.4820132553577423, 0.025760482996702194, 0.2655070424079895, 0.034882981330156326, 0.033003952354192734]",0
4322829,Punjab FC,"[0.01003080140799284, 0.024198083207011223, 0.014965666458010674, 0.038195665925741196, 0.014250745065510273, 0.02206401340663433, 0.044808000326156616, 0.025453323498368263, 0.04124055430293083, 0.04019341245293617, 0.14811517298221588, 0.01577642932534218, 0.5199178457260132]",1,Hyderabad FC,"[0.014615382067859173, 0.061329714953899384, 0.1455068290233612, 0.038014527410268784, 0.014625589363276958, 0.019978877156972885, 0.012246880680322647, 0.048537783324718475, 0.033124763518571854, 0.06587321311235428, 0.13927136361598969, 0.10827483236789703, 0.03278689831495285, 0.015599148347973824, 0.2277802973985672]",1
